"Statistic","CensusYear","Alphabetical List of Towns","UNIT","VALUE"
"Total Population (Number)","2016","Goresbridge, Kilkenny","Number","347"
"Total Population (Number)","2016","Gorey, Wexford","Number","9822"
"Total Population (Number)","2016","Gormanston, Meath","Number","375"
"Total Population (Number)","2016","Gort, Galway","Number","2994"
"Total Population (Number)","2016","Gort an Choirce, Donegal","Number","185"
"Total Population (Number)","2016","Gortnahoo, South Tipperary","Number","286"
"Total Population (Number)","2016","Gowran, Kilkenny","Number","804"
"Total Population (Number)","2016","Grahormac, Wexford","Number","439"
"Total Population (Number)","2016","Graiguenamanagh-Tinnahinch, Carlow and Kilkenny","Number","1475"
"Total Population (Number)","2016","Granard, Longford","Number","816"
"Total Population (Number)","2016","Grange, Sligo","Number","586"
"Total Population (Number)","2016","Grangemore, Kildare","Number","217"
"Total Population (Number)","2016","Greencastle, Donegal","Number","831"
"Total Population (Number)","2016","Grenagh, Cork","Number","579"
"Total Population (Number)","2016","Greystones-Delgany, Wicklow","Number","18140"
"Total Population (Number)","2016","Gurteen, Sligo","Number","393"
"Total Population (Number)","2016","Hacketstown, Carlow","Number","597"
"Total Population (Number)","2016","Halfway, Cork","Number","226"
"Total Population (Number)","2016","Headford, Galway","Number","973"
"Total Population (Number)","2016","Holycross, North Tipperary and South Tipperary","Number","715"
"Total Population (Number)","2016","Hospital, Limerick","Number","653"
"Total Population (Number)","2016","Inagh, Clare","Number","210"
"Total Population (Number)","2016","Inchigeelagh, Cork","Number","153"
"Total Population (Number)","2016","Inistioge, Kilkenny","Number","285"
"Total Population (Number)","2016","Inniscrone, Sligo","Number","1156"
"Total Population (Number)","2016","Innishannon, Cork","Number","907"
"Total Population (Number)","2016","Inniskeen, Monaghan","Number","273"
"Total Population (Number)","2016","Irishtown, Mayo","Number","129"
"Total Population (Number)","2016","Jenkinstown, Louth","Number","360"
"Total Population (Number)","2016","Johnstown, Kildare","Number","1005"
"Total Population (Number)","2016","Johnstown, Kilkenny","Number","444"
"Total Population (Number)","2016","Johnstownbridge, Kildare","Number","683"
"Total Population (Number)","2016","Julianstown, Meath","Number","681"
"Total Population (Number)","2016","Kanturk, Cork","Number","2350"
"Total Population (Number)","2016","Keadew, Roscommon","Number","154"
"Total Population (Number)","2016","Keel-Dooagh, Mayo","Number","541"
"Total Population (Number)","2016","Keenagh, Longford","Number","581"
"Total Population (Number)","2016","Kells, Kilkenny","Number","274"
"Total Population (Number)","2016","Kenmare, Kerry","Number","2376"
"Total Population (Number)","2016","Kentstown, Meath","Number","1179"
"Total Population (Number)","2016","Kernanstown, Carlow","Number","214"
"Total Population (Number)","2016","Keshcarrigan, Leitrim","Number","155"
"Total Population (Number)","2016","Kilbeggan, Westmeath","Number","1288"
"Total Population (Number)","2016","Kilberry, Kildare","Number","400"
"Total Population (Number)","2016","Kilbrin, Cork","Number","186"
"Total Population (Number)","2016","Kilbrittain, Cork","Number","216"
"Total Population (Number)","2016","Kilcloon, Meath","Number","280"
"Total Population (Number)","2016","Kilcock, Kildare","Number","6093"
"Total Population (Number)","2016","Kilcolgan, Galway","Number","141"
"Total Population (Number)","2016","Kilcoole, Wicklow","Number","4239"
"Total Population (Number)","2016","Kilcormac (Frankford), Offaly","Number","935"
"Total Population (Number)","2016","Kilcrohane, Cork","Number","127"
"Total Population (Number)","2016","Kilcullen, Kildare","Number","3710"
"Total Population (Number)","2016","Kilcummin, Kerry","Number","435"
"Total Population (Number)","2016","Kildalkey, Meath","Number","708"
"Total Population (Number)","2016","Kildangan, Kildare","Number","317"
"Total Population (Number)","2016","Kildare, Kildare","Number","8634"
"Total Population (Number)","2016","Kildavin, Carlow","Number","184"
"Total Population (Number)","2016","Kildimo, Limerick","Number","417"
"Total Population (Number)","2016","Kildorrery, Cork","Number","357"
"Total Population (Number)","2016","Kildrum, Donegal","Number","534"
"Total Population (Number)","2016","Kildysart, Clare","Number","386"
"Total Population (Number)","2016","Kilfenora, Clare","Number","175"
"Total Population (Number)","2016","Kilfinane, Limerick","Number","789"
"Total Population (Number)","2016","Kilflynn, Kerry","Number","151"
"Total Population (Number)","2016","Kilgarvan, Kerry","Number","172"
"Total Population (Number)","2016","Kilkee, Clare","Number","972"
"Total Population (Number)","2016","Kilkelly, Mayo","Number","373"
"Total Population (Number)","2016","Kilkenny, Kilkenny","Number","26512"
"Total Population (Number)","2016","Kilkishen, Clare","Number","561"
"Total Population (Number)","2016","Kill, Kildare","Number","3348"
"Total Population (Number)","2016","Kill, Waterford","Number","271"
"Total Population (Number)","2016","Killala, Mayo","Number","562"
"Total Population (Number)","2016","Killaloe, Clare","Number","1484"
"Total Population (Number)","2016","Killarney, Kerry","Number","14504"
"Total Population (Number)","2016","Killashee, Longford","Number","215"
"Total Population (Number)","2016","Killavullen, Cork","Number","267"
"Total Population (Number)","2016","Killeagh, Cork","Number","899"
"Total Population (Number)","2016","Killeigh, Offaly","Number","212"
"Total Population (Number)","2016","Killenard, Laois","Number","671"
"Total Population (Number)","2016","Killenaule, South Tipperary","Number","652"
"Total Population (Number)","2016","Killeshandra, Cavan","Number","388"
"Total Population (Number)","2016","Killimor, Galway","Number","336"
"Total Population (Number)","2016","Killinierin, Wexford","Number","244"
"Total Population (Number)","2016","Killorglin, Kerry","Number","2199"
"Total Population (Number)","2016","Killucan-Rathwire, Westmeath","Number","1370"
"Total Population (Number)","2016","Killumney, Cork","Number","1132"
"Total Population (Number)","2016","Killurin, Offaly","Number","142"
"Total Population (Number)","2016","Killurin, Wexford","Number","166"
"Total Population (Number)","2016","Killybegs, Donegal","Number","1236"
"Total Population (Number)","2016","Killygordan, Donegal","Number","614"
"Total Population (Number)","2016","Kilmacanogue, Wicklow","Number","1042"
"Total Population (Number)","2016","Kilmacow, Kilkenny","Number","647"
"Total Population (Number)","2016","Kilmacrennan, Donegal","Number","753"
"Total Population (Number)","2016","Kilmacthomas, Waterford","Number","834"
"Total Population (Number)","2016","Kilmaine, Mayo","Number","147"
"Total Population (Number)","2016","Kilmainham, Meath","Number","316"
"Total Population (Number)","2016","Kilmaley, Clare","Number","202"
"Total Population (Number)","2016","Kilmallock, Limerick","Number","1668"
"Total Population (Number)","2016","Kilmead, Kildare","Number","309"
"Total Population (Number)","2016","Kilmeaden, Waterford","Number","259"
"Total Population (Number)","2016","Kilmeage, Kildare","Number","1082"
"Total Population (Number)","2016","Kilmessan, Meath","Number","654"
"Total Population (Number)","2016","Kilmihill, Clare","Number","434"
"Total Population (Number)","2016","Kilmoganny, Kilkenny","Number","245"
"Total Population (Number)","2016","Kilmore, Wexford","Number","132"
"Total Population (Number)","2016","Kilmore Quay, Wexford","Number","372"
"Total Population (Number)","2016","Kilmuckeridge (Ford), Wexford","Number","722"
"Total Population (Number)","2016","Kilmurry, Clare","Number","280"
"Total Population (Number)","2016","Kilmyshall, Wexford","Number","149"
"Total Population (Number)","2016","Kilnaleck, Cavan","Number","393"
"Total Population (Number)","2016","Kilpedder, Wicklow","Number","1255"
"Total Population (Number)","2016","Kilrane, Wexford","Number","647"
"Total Population (Number)","2016","Kilrush, Clare","Number","2719"
"Total Population (Number)","2016","Kilsheelan, South Tipperary","Number","812"
"Total Population (Number)","2016","Kilteel, Kildare","Number","214"
"Total Population (Number)","2016","Kilteely, Limerick","Number","171"
"Total Population (Number)","2016","Kiltimagh, Mayo","Number","1069"
"Total Population (Number)","2016","Kilworth, Cork","Number","1055"
"Total Population (Number)","2016","Kingscourt, Cavan","Number","2499"
"Total Population (Number)","2016","Kinlough, Leitrim","Number","1032"
"Total Population (Number)","2016","Kinnegad, Westmeath","Number","2745"
"Total Population (Number)","2016","Kinnitty, Offaly","Number","381"
"Total Population (Number)","2016","Kinsale, Cork","Number","5281"
"Total Population (Number)","2016","Kinsaley, Fingal","Number","264"
"Total Population (Number)","2016","Kinsealy-Drinan, Fingal","Number","6643"
"Total Population (Number)","2016","Kinvara, Galway","Number","734"
"Total Population (Number)","2016","Knightstown, Kerry","Number","243"
"Total Population (Number)","2016","Knock, Mayo","Number","972"
"Total Population (Number)","2016","Knockananna, Wicklow","Number","143"
"Total Population (Number)","2016","Knockbridge, Louth","Number","667"
"Total Population (Number)","2016","Knockcroghery, Roscommon","Number","351"
"Total Population (Number)","2016","Knockglass, Cork","Number","658"
"Total Population (Number)","2016","Knocklong, Limerick","Number","256"
"Total Population (Number)","2016","Knocknagree, Cork","Number","188"
"Total Population (Number)","2016","Knockraha, Cork","Number","371"
"Total Population (Number)","2016","Knocktopher, Kilkenny","Number","166"
"Total Population (Number)","2016","Lackaghbeg, Galway","Number","545"
"Total Population (Number)","2016","Ladytown, Kildare","Number","460"
"Total Population (Number)","2016","Laghy, Donegal","Number","183"
"Total Population (Number)","2016","Lahardane, Mayo","Number","178"
"Total Population (Number)","2016","Lahinch, Clare","Number","638"
"Total Population (Number)","2016","Lanesborough-Ballyleague, Longford and Roscommon","Number","1454"
"Total Population (Number)","2016","Laragh, Wicklow","Number","342"
"Total Population (Number)","2016","Lawcus-Stoneyford, Kilkenny","Number","376"
"Total Population (Number)","2016","Laytown-Bettystown-Mornington-Donacarney, Meath","Number","11872"
"Total Population (Number)","2016","Leap, Cork","Number","257"
"Total Population (Number)","2016","Legan, Longford","Number","215"
"Total Population (Number)","2016","Leighlinbridge, Carlow","Number","914"
"Total Population (Number)","2016","Leitrim, Leitrim","Number","594"
"Total Population (Number)","2016","Leixlip, Kildare","Number","15504"
"Total Population (Number)","2016","Lemybrien, Waterford","Number","192"
"Total Population (Number)","2016","Letterkenny, Donegal","Number","19274"
"Total Population (Number)","2016","Lifford, Donegal","Number","1626"
"Total Population (Number)","2016","Limerick city and suburbs, Limerick","Number","94192"
"Total Population (Number)","2016","Liscannor, Clare","Number","113"
"Total Population (Number)","2016","Liscarroll, Cork","Number","249"
"Total Population (Number)","2016","Lisdoonvarna, Clare","Number","829"
"Total Population (Number)","2016","Lismore, Waterford","Number","1374"
"Total Population (Number)","2016","Lisronagh, South Tipperary","Number","184"
"Total Population (Number)","2016","Lissycasey, Clare","Number","325"
"Total Population (Number)","2016","Listowel, Kerry","Number","4820"
"Total Population (Number)","2016","Littleton, North Tipperary","Number","394"
"Total Population (Number)","2016","Lixnaw, Kerry","Number","696"
"Total Population (Number)","2016","Loch an Iúir, Donegal","Number","313"
"Total Population (Number)","2016","Longford, Longford","Number","10008"
"Total Population (Number)","2016","Longwood, Meath","Number","1581"
"Total Population (Number)","2016","Lordship, Louth","Number","486"
"Total Population (Number)","2016","Loughglinn, Roscommon","Number","184"
"Total Population (Number)","2016","Loughrea, Galway","Number","5556"
"Total Population (Number)","2016","Loughshinny, Fingal","Number","666"
